Frequency(MHz),Magnitude(dB)_20260203_064235
107.8981,6.47048708641193
107.9981,5.861060513611145
108.0981,6.806511008915431
108.1981,8.346956274259483
108.2981,9.56483947997105
108.3981,10.167451477740437
108.4981,10.059858708002935
108.5981,9.138720015810256
108.6981,7.187640131755214
108.7981,3.653466289863368
108.8981,-1.525254383318443
108.9981,0.8077940091222379
109.0981,5.838435002896361
109.1981,8.884958574224557
109.2981,10.628306829013736
109.3981,11.47759156854574
109.4981,11.64373082727628
109.5981,11.2515950837128
109.6981,10.415418988985682
109.7981,9.333795613588203
109.8981,8.285362918826827
109.9981,7.542135152846191
110.0981,7.080686473306326
110.1981,6.5814166546233945
110.2981,5.7295055765600225
110.3981,4.298228269446021
110.4981,2.5736413743677335
110.5981,2.3989606764010243
110.6981,4.875944987347077
110.7981,7.759572354489668
110.8981,9.963772477175258
110.9981,11.39638899205908
111.0981,12.13823143229861
111.1981,12.238033168093418
111.2981,11.71248701003072
111.3981,10.497375080606481
111.4981,8.500068802464884
111.5981,5.715621016498663
111.6981,3.3508563205547377
111.7981,4.202924851118545
111.8981,6.5963985526270195
111.9981,8.363684925111261
112.0981,9.238833806660915
112.1981,9.31829760413963
112.2981,8.709154509596006
112.3981,7.58406182199545
112.4981,6.398016368315497
112.5981,5.954265527574075
112.6981,6.521505728643354
112.7981,7.430951056577605
112.8981,8.062392104255407
112.9981,8.203930061504996
113.0981,7.8794034205057955
113.1981,7.326462206281748
113.2981,7.115630278684852
113.3981,7.815663974973712
113.4981,9.198694612694494
113.5981,10.580487001294074
113.6981,11.539736194826888
113.7981,11.933936662077528
113.8981,11.709016812838037
113.9981,10.806248997962145
114.0981,8.988121414495225
114.1981,5.8772286026041956
114.2981,1.0738365270633323
114.3981,-1.5251494886471708
114.4981,3.3078155024311173
114.5981,6.858091609447415
114.6981,8.889802617006708
114.7981,9.9815472015495
114.8981,10.30188829971811
114.9981,10.108604454165729
115.0981,9.858834329571476
115.1981,9.215434208086068
115.2981,8.8611362773404
115.3981,8.805356691920936
115.4981,8.718116151662912
115.5981,8.492444936546764
115.6981,7.659076116433726
115.7981,6.127898944303194
115.8981,3.7118057940225686
115.9981,1.1637526117970494
116.0981,2.1488965840309007
116.1981,5.454699154467778
116.2981,7.938155199784678
116.3981,9.471662003783752
116.4981,10.273090309487678
116.5981,10.210910546828782
116.6981,9.471752740968904
116.7981,7.955973212508317
116.8981,5.7899223151443735
116.9981,3.7664428572962247
117.0981,4.3062596313665225
117.1981,6.7166316117050675
117.2981,8.538043394061933
117.3981,9.711923689447907
117.4981,10.424567838042421
117.5981,10.457868001062193
117.6981,9.860402950760657
117.7981,8.672676192713558
117.8981,7.340896616686048
117.9981,6.477350558318844
118.0981,6.154724858724922
118.1981,6.400664229109817
118.2981,6.427399477227303
118.3981,5.945306627893442
118.4981,4.758519856794213
118.5981,3.8572242736989413
118.6981,4.182417789526778
118.7981,6.4493621648363195
118.8981,8.816764092085487
118.9981,10.701434520130451
119.0981,11.873066229347787
119.1981,12.43398264411265
119.2981,12.433731698789256
119.3981,11.653578571762067
119.4981,10.168927554678728
119.5981,7.695391961621483
119.6981,3.9409586894353446
119.7981,1.0934497067587348
119.8981,2.685604219128697
119.9981,6.27768211971893
120.0981,8.547625702287396
120.1981,9.679425930300363
120.2981,10.034691489780279
120.3981,9.865325826036772
120.4981,9.504133933225628
120.5981,9.37162939445149
120.6981,9.696295587748967
120.7981,10.260725782356923
120.8981,10.689915283078864
120.9981,10.721764915976683
121.0981,10.232587578871632
121.1981,9.157982745611138
121.2981,7.53194471110017
121.3981,5.868510640845671
121.4981,5.653596712338532
121.5981,7.293110153604148
121.6981,9.227933728113868
121.7981,10.602595861119992
121.8981,11.25840394196766
121.9981,11.160477475144727
122.0981,10.238463164734245
122.1981,8.303993853860659
122.2981,5.0154192389443155
122.3981,1.0520794691626132
122.4981,2.706492611971289
122.5981,6.745955247205649
122.6981,9.440913347448715
122.7981,11.027411363397029
122.8981,11.818751874331069
122.9981,11.996537477781162
123.0981,11.698737582742355
123.1981,11.088672335194662
123.2981,10.415741033917481
123.3981,9.936859772052113
123.4981,9.725836282145275
123.5981,9.550902928420609
123.6981,9.08721993214497
123.7981,8.052854925737444
123.8981,6.200449164734808
123.9981,3.561714266709362
124.0981,2.2972944063651566
124.1981,5.020616399098249
124.2981,8.292457343423408
124.3981,10.628106148631568
124.4981,12.082193418956708
124.5981,12.788953406826064
124.6981,12.83542308313737
124.7981,12.225966725671963
124.8981,10.932255078689742
124.9981,8.918857013536233
125.0981,6.420342666149001
125.1981,4.733392118173084
125.2981,5.496438031742475
125.3981,7.286739865706952
125.4981,8.67131295157903
125.5981,9.384686875726636
125.6981,9.460751887756384
125.7981,9.012056814370794
125.8981,8.268778287230026
125.9981,7.715725632342205
126.0981,7.798065899026385
126.1981,8.393649023810955
126.2981,8.97635227364018
126.3981,9.173892269995282
126.4981,8.869057010952918
126.5981,8.124055366488948
126.6981,7.317653477438749
126.7981,7.221483600111631
126.8981,8.294456191948017
126.9981,9.90501218597069
127.0981,11.35035441256906
127.1981,12.325418955315126
127.2981,12.745052613605504
127.3981,12.559803587367186
127.4981,11.696216867017888
127.5981,9.987599709465275
127.6981,7.120534842955269
127.7981,2.5260184394604392
127.8981,-1.5929371378951862
127.9981,2.5372268961351123
128.0981,6.349576504815731
128.1981,8.587340291137913
128.2981,9.834881748540589
128.3981,10.434235858557706
128.4981,10.608858680375013
128.5981,10.588437180793491
128.6981,10.59506202366007
128.7981,10.728388294782498
128.8981,10.889100382142265
128.9981,10.857175256488617
129.0981,10.40828841948998
129.1981,9.328503112660467
129.2981,7.416892078584562
129.3981,4.5727694372724175
129.4981,2.214585779583013
129.5981,3.954460915503397
129.6981,7.154705886683029
129.7981,9.523053437837975
129.8981,10.991996128920192
129.9981,11.695839809040347
130.0981,11.715959994904948
130.1981,11.065321111676528
130.2981,9.736384499663746
130.3981,7.848571936731488
130.4981,6.1281743379994635
130.5981,6.0745555938036455
130.6981,7.541608910798455
130.7981,9.069451039994767
130.8981,10.0720790207487
130.9981,10.501653018425579
131.0981,10.42294843119198
131.1981,9.938174486439257
131.2981,9.248093187774218
131.3981,8.65474063323196
131.4981,8.430104646192627
131.5981,8.462542665773654
131.6981,8.396284845560748
131.7981,7.8272230753886785
131.8981,6.632640560755486
131.9981,5.019707344917225
132.0981,3.459351073950177
132.1981,4.29010925268363
132.2981,6.892655163254632
132.3981,9.217763937384
132.4981,10.93899426418718
132.5981,11.988608002449332
132.6981,12.39704298160898
132.7981,12.384410812349032
132.8981,11.65052784664945
132.9981,10.326027263057577
133.0981,8.908184650613439
133.1981,5.706219696167079
133.2981,2.505414901757026
133.3981,2.915131472406305
133.4981,4.621860404286108
133.5981,6.334103774342533
133.6981,7.24501644035112
133.7981,7.740849381143478
133.8981,7.812894606414931
133.9981,8.084411622812532
134.0981,8.38952302088033
134.1981,9.031399822663749
134.2981,9.594173476588532
134.3981,9.859173490422002
134.4981,9.645427016989089
134.5981,8.852766714048721
134.6981,7.403949840104169
134.7981,5.364614729785618
134.8981,3.933668674282837
134.9981,4.499244982155611
135.0981,6.548564361948678
135.1981,8.352316253454665
135.2981,9.514751207382414
135.3981,9.948361038063728
135.4981,9.730735171889332
135.5981,8.731078209822522
135.6981,6.921881951424887
135.7981,4.30787056555657
135.8981,2.3309007037831373
135.9981,3.305405931725195
136.0981,5.920915562338889
136.1981,7.8399071514721115
136.2981,9.112322050662014
136.3981,9.743303841561104
136.4981,9.953501336951721
136.5981,9.952829222902489
136.6981,9.830589436848843
136.7981,9.846123187314967
136.8981,9.844849169322913
136.9981,9.776356860440155
137.0981,9.503122684526447
137.1981,8.758559317764188
137.2981,7.279822404740921
137.3981,4.694810714288213
137.4981,0.987855837121127
137.5981,1.0062553208634226
137.6981,4.823362404830494
137.7981,8.24213400212172
137.8981,10.530903191613067
137.9981,11.792790938670263
138.0981,12.360141053335383
138.1981,12.29685373985019
138.2981,11.654080685041004
138.3981,10.436713228234462
138.4981,8.703442588548212
138.5981,6.879856665639657
138.6981,5.93505928334905
138.7981,6.380974165033432
138.8981,7.3386465040742905
138.9981,8.042322128149426
139.0981,8.318644654937103
139.1981,8.256520349452146
139.2981,8.077174340284287
139.3981,8.06496486439933
139.4981,8.418126148772151
139.5981,9.040879881608385
139.6981,9.633333742738259
139.7981,9.919452565210163
139.8981,9.698612086164784
139.9981,8.84731319193149
140.0981,7.337367074109577
140.1981,5.622645451532619
140.2981,5.370704566224561
140.3981,7.221085856723358
140.4981,9.424736648259016
140.5981,11.06481984448147
140.6981,12.048325364696444
140.7981,12.414782680962391
140.8981,12.185474783455417
140.9981,11.318141811488243
141.0981,9.707276701268809
141.1981,7.138098043664525
141.2981,3.5203753606705313
141.3981,0.8298811338406593
141.4981,2.8920643555443877
141.5981,5.723042103437983
141.6981,7.576153225019604
141.7981,8.678977388709862
141.8981,9.346697617747177
141.9981,9.837989333407261
142.0981,10.319109450649597
142.1981,10.837257654903443
142.2981,11.325666618054376
142.3981,11.631892930106421
142.4981,11.61955609312102
142.5981,11.140704483618515
142.6981,10.0420960382128
142.7981,8.117407835703249
142.8981,5.182771190255661
142.9981,2.26870449530785
143.0981,3.511234795754707
143.1981,6.721695568079642
143.2981,9.0873099579676
143.3981,10.5018557587604
143.4981,11.156575327381425
143.5981,11.161394961830629
143.6981,10.579316572903396
143.7981,9.401520127561264
143.8981,7.857297712959835
143.9981,6.49893920648838
144.0981,6.346289948121785
144.1981,7.308780036386819
144.2981,8.405846215660048
144.3981,9.126109931679013
144.4981,9.415703118192916
144.5981,9.395224474168494
144.6981,9.258084611255292
144.7981,9.180217871837515
144.8981,9.24349646408423
144.9981,9.36949878782669
145.0981,9.385850145426945
145.1981,9.091164848584611
145.2981,8.273176328869063
145.3981,6.72525012052065
145.4981,4.39397438363092
145.5981,2.6096101849204842
145.6981,4.413129768873045
145.7981,7.620814673373433
